words,POS
اچر,Noun
اچه,Noun
اچول,Verb
اچونی,Noun
احاديث,Noun
احاطه,Noun
احباب,Noun
احتجاج,Noun
احتراز,Noun
احتراق,Noun
احترام,Noun
احتفال,Noun
احتکار,Noun
احتکاري,Adjective
احتکاک,Noun
احتلام,Noun
احتمال,Noun
احتمالي,Adjective
احتمام,Noun
احتياج,Noun
احتياط,Noun
احتياطي,Adjective
احزاب,Noun
احساس,Noun
احساسات,Noun
احساساتي,Adjective
احساسول,Verb
احسان,Noun
احصائيه,Noun
احضار,Noun
احضارول,Verb
احکام,Noun
احمدزی,Noun
احمق,Adjective
احمق,Noun
احوال,Noun
احوال اخيستل,Verb
احياء,Noun
اخ,Interjection
ښاخ,Noun
ښاخۍ,Noun
اړخ,Noun
اړخی,Noun
اخځ,Noun
اخښی,Noun
اخبار,Noun
اختر,Noun
اختری,Noun
اختراع,Noun
اختراع کول,Verb
اختصار,Noun
اختصاص,Noun
اختصاصي,Adjective
اختطاف,Noun
اختفا,Noun
اختلاس,Noun
اختلاف,Noun
اختلال,Noun
اختناق,Noun
اختيار,Noun
اختياري,Adjective
آخذه,Noun
آخر,Noun
اخراج,Noun
آخرت,Noun
آخري,Adjective
اخطار,Noun
اخفأ,Noun
اخښل,Verb
اخلاص,Noun
اخلاصمن,Adjective
اخلاق,Noun
اخلاقي,Adjective
اخلال,Noun
ښاخلن,Adjective
ښاخله,Noun
اخځليک,Noun
اخوا,Adverb
اخوا دې خوا,Adverb
اخ و ډب,Noun
آخود,Particle
اخوند,Noun
ډاګخونه,Noun
اخ و ټوخ,Noun
اړخيز,Adjective
اخيستل,Verb
ښاد,Adjective
ګادړ,Adjective
ادې,Noun
آداب,Noun
آدات,Noun
ادات,Noun
اداره,Noun
اداري خونه,Verb
ادب,Noun
ادبي,Adjective
ادبيات,Noun
ادبي پېر,Noun
ښادېدل,Verb
څادر,Noun
ادراک,Noun
ادرس,Noun
ادرم,Noun
ادعا,Noun
ادغام,Noun
ادکۍ,Noun
ادکه,Noun
اړېدل,Verb
ادمان,Noun
ادمخېل,Noun
ادمخور,Adjective
ښادمن,Adjective
ادنی,Adjective
ادنا,Adjective
ادوات,Noun
ادوبدو,Adjective
ښادول,Verb
ادوم,Noun
یادوه,Verb
ښادي,Noun
اديان,Noun
اديب,Noun
اديره,Noun
اذان,Noun
اذن,Noun
اذيت,Noun
اګر,Adjective
ار,Interjection
آر,Noun
آرټ,Noun
ټټار,Noun
ګاډر,Noun
څار,Noun
ښارګ,Noun
اګر,Noun
ارټ,Noun
ارړی,Noun
اراټ,Noun
ارابه,Noun
ګاراج,Noun
اراده,Noun
ارادي,Adjective
اراضي,Noun
آرام,Adjective
ارامول,Verb
ارامي,Adjective
ارامي,Noun
ارامى,Verb
اټېران,Noun
اېران,Noun
ارګانه,Noun
ارباب,Noun
اربکی,Noun
اربه,Noun
آرپوهه,Noun
ارت,Adjective
ارتاو,Noun
ارتاوۍ,Noun
ارتاوول,Verb
ارتاويز,Adjective
ارتباط,Noun
ارتباطي,Adjective
ارتجاع,Noun
ارتجاعي,Adjective
ارتېدل,Verb
ارتعاش,Noun
ارتفاع,Noun
ارتقاء,Noun
ارتکاب,Noun
ارتول,Verb
ارتينه,Noun
ارث,Noun
ارثي,Adjective
ارجل,Adjective
ارجلۍ,Noun
ارجنټين,Noun
ارګجه,Adjective
ارچه,Noun
ارخښ,Noun
ارخاړی,Noun
ارخشی,Noun
ارداوه,Noun
ډارېدلی,Adjective
اردلی,Noun
ډاریدو,Adjective
اردو,Noun
ډارېدونکی,Adjective
ارزاق,Noun
ارزان,Adjective
ارزګان,Noun
ارزانېدل,Verb
ارزانول,Verb
ارزاني,Noun
ارزښت,Noun
ارزښتمن,Adjective
ارزښتناک,Adjective
ارزېدل,Verb
آرزو,Noun
آرزومن,Adjective
ارزونه,Noun
ارستو,Noun
ارستوکرات,Noun
ارستوکراسي,Noun
ارشيف,Noun
ارغ,Noun
ارغی,Noun
ارغاړی,Noun
ارغچله,Noun
ارغستلي,Adjective
ارغشی,Noun
ارغنج,Noun
ارغنداو,Noun
ارغنځه,Noun
ارغڅه,Noun
ارغه,Noun
ارغوان,Noun
ارغواني,Adjective
ارغو برغو,Noun
ارغوچ,Noun
ارغوچکه,Noun
ارغونجکه,Noun
ارغونچی,Noun
ارغونچکي,Noun
ارغوند,Noun
ارغونکی,Noun
ارقام,Noun
اډرکی,Noun
ارکاره,Noun
ارکان,Noun
ارکانی,Noun
ارکسترا,Noun
څارل,Verb
اټېرل,Verb
ارږمی,Noun
ارم,Noun
ارمان,Noun
ارمانجن,Adjective
ارمتی,Adjective
ارم توتيا,Noun
ارمچک,Noun
ارمغان,Noun
ارمل,Noun
ارمنی,Adjective
ارمن,Noun
ارمنی,Noun
ارمټه,Noun
ارمونی,Adjective
ارمونی,Noun
ارمونيه,Noun
ډارن,Adjective
ښارنی,Adjective
اټېرن,Adjective
آرن,Noun
ډارن,Noun
ارن,Noun
ګارنېزون,Noun
څارنه,Noun
څارنه کول,Verb
ګاګره,Noun
ګاره,Noun
ارېړه,Noun
اره,Noun
ارهټ,Noun
ارهر,Noun
ارهنډه,Noun
څارو,Adjective
ښارو,Noun
څاروی,Noun
اروړ,Noun
اروا,Noun
ښاروال,Noun
ښاروالي,Noun
اروپا,Noun
اروپايي,Adjective
ارومرو,Adverb
څارونکی,Noun
اروړه,Adjective
ارګوړي,Noun
ښاري,Adjective
اريی,Noun
اريانېدل,Verb
آريانه,Noun
ښاري څانګه,Noun
اريانول,Verb
ارياني,Noun
آريايي,Adjective
آرټيست,Noun
اګريمان,Noun
آرين,Noun
ګاز,Noun
اېډز,Noun
آزاد,Adjective
ازاد,Adjective
آزادېدل,Verb
ازادېدل,Verb
آزادول,Verb
ازادول,Verb
آزادي,Noun
ازادي,Noun
آزار,Noun
ازانګه,Noun
ازبک,Noun
ازبکي,Adjective
ګاز ډبه,Noun
ازدحام,Noun
ازدواج,Noun
ګازره,Noun
ازغی,Noun
ازغن,Adjective
ازل,Noun
ازل ليک,Noun
ازمايښت,Noun
ازمايل,Verb
ازمېښتي,Adjective
ازمويل,Verb
ازموينځی,Noun
آزموينه,Noun
ازموينه,Noun
ازوت,Noun
ازوغ,Noun
آژانس,Noun
اژانس,Noun
اژدهار,Noun
آس,Noun
اسی,Noun
اساس,Noun
اساسنامه,Noun
اساسي,Adjective
اساسى,Noun
اسامبله,Noun
آسان,Adjective
اسان,Adjective
آسانتيا,Noun
اسانتيا,Noun
اسانېدل,Verb
آسانول,Verb
اسانول,Verb
اساني,Noun
اسېب,Noun
اسباب,Noun
اسبون,Noun
اسپې,Noun
اسپانيه,Noun
اسپه,Noun
یاست,Verb
استاذ,Noun
استازی,Noun
استازي,Noun
استاکار,Noun
استبداد,Noun
استبدادي,Adjective
استثمار,Noun
استثمارچي,Noun
استثمارېدل,Verb
استثمارول,Verb
استثناء,Noun
استثنايي,Adjective
استحاله,Noun
استحصال,Noun
استحضار,Noun
استحقاق,Noun
استحکام,Noun
استخاره,Noun
استخبارات,Noun
استخبراتے ادارہ,Noun
استخدام,Noun
استخراج,Noun
استخفاف,Noun
استېدل,Verb
استدلال,Noun
استر,Noun
استراحت,Noun
استراليا,Noun
استربل,Noun
استرپ,Noun
استسقاء,Noun
استعاره,Noun
استعداد,Noun
استعفا,Noun
استعفا ورکول,Verb
استعلام,Noun
استعمار,Noun
استعمارچي,Noun
استعماري,Adjective
استعمال,Noun
استعمالول,Verb
استغاثه,Noun
استغفار,Noun
استغفر الله,Interjection
استغنا,Noun
استفاده,Noun
استفاه ورکول,Verb
استقامت,Noun
استقبال,Noun
استقراء,Noun
استقرار,Noun
استقلال,Noun
استمراري,Adjective
استناد,Noun
استنباط,Noun
استنتاج,Noun
استنجا,Noun
استنساخ,Noun
استنشاق,Noun
استنطاق,Noun
استهدا,Noun
استهزا,Noun
استهقاق,Noun
استهلاک,Noun
استهلاکي,Adjective
استوا,Noun
استوانه,Noun
استوزه,Noun
استول,Verb
استوګن,Adjective
استوګنځی,Noun
استوګنه,Noun
استيضاح,Noun
استيناف,Noun
اسد,Noun
اسرار,Noun
اسرارآمېز,Adjective
اسرافيل,Noun
اسراييل,Noun
اسراييلي,Adjective
اسره,Noun
آسټريا,Noun
اسعار,Noun
اسفالټ,Noun
اسفناکه,Adjective
اسقاط,Noun
اسقف,Noun
اسک,Noun
اسکان,Noun
اسکيمو,Noun
اسل,Adjective
اسلاف,Noun
اسلام,Noun
اسلامي,Adjective
اسلحه,Noun
اسلوب,Noun
اسلول,Verb
اسم,Noun
اسماعيليه,Noun
اسمان,Noun
اسمان څک,Adjective
اسمان کټ,Noun
اسمان څکالی,Noun
اسمان لاره,Noun
اسماني,Adjective
اسېمه,Noun
اسناد,Noun
اسهال,Noun
اسهام,Noun
آسوده,Adjective
اسوېلی,Noun
اسوېلاند,Adjective
اسوېلل,Verb
اسي,Adjective
اسيډ,Noun
اسير,Noun
آش,Noun
ګاش,Noun
اشا,Noun
اشاره كول,Verb
اشاعت,Noun
اشباع,Noun
اشپز,Noun
اشپز خانه,Noun
اشپزي,Noun
اشتباه,Noun
اشتراک,Noun
اشتراکي,Adjective
اشتغ,Noun
اشتقاق,Noun
اشتها,Noun
اشتهار,Noun
اشتوکه,Noun
اشتياق,Noun
اشخار,Noun
اشخاص,Noun
اشداره,Noun
اشر,Noun
اشراف,Noun
اشرپۍ,Noun
اشري,Adjective
اشعار,Noun
اشغال,Noun
اشغالګر,Noun
آشک,Noun
اشکال,Noun
اشکي,Interjection
اشنا,Noun
اشنای,Noun
اشنايي,Noun
اشنغر,Noun
اشوا,Adjective
اشواره,Noun
اشول,Noun
اصالت,Noun
اصحاب,Noun
اصرار,Noun
اصراركول,Verb
اصطکاک,Noun
اصطلاح,Noun
اصغري,Adjective
اصل,Noun
اصلاح,Noun
اصلي,Adjective
اصولنامه,Noun
اصيل,Adjective
اضافت,Noun
اضافه,Adjective
اضافه بار,Adjective
اضافه کاري,Noun
اضافي,Adjective
اضداد,Noun
اضطراب,Noun
اضعاف,Noun
اطاعت,Noun
اطراح,Noun
اطراف,Noun
اطفائيه,Noun
اطلاع,Noun
اطلاعيه,Noun
اطمينان,Noun
اظهار,Noun
اظهار نامه,Noun
اظهارول,Verb
اظهرېدل,Verb
اعاده,Noun
اعانه,Noun
اعتبار,Noun
اعتبار ليک,Noun
اعتباري,Adjective
اعتدال,Noun
اعتراض,Noun
اعتراف,Noun
اعتصاب,Noun
اعتقاد,Noun
اعتلأ,Noun
اعتماد,Noun
اعتمادي,Adjective
اعتنا,Noun
اعتياد,Noun
اعداد,Noun
اعدام,Noun
اعدامول,Verb
اعراب,Noun
اعزازي,Adjective
اعشاري,Adjective
اعشاريه,Noun
اعصاب,Noun
اعضا,Noun
اعظمي,Adjective
اعلی,Adjective
اعلام,Noun
اعلاميه,Noun
اعلان,Noun
اعلانول,Verb
اعليحضرت,Noun
اعمال,Noun
اعيان,Noun
ټاغی,Adjective
اغېړ,Noun
اغتشاش,Noun
اغراض,Noun
اغراق,Noun
اغزی,Noun
اغزکی,Noun
اغزن,Adjective
اغېزناک,Adjective
اغېزه,Noun
اغزياڼه,Noun
اېغ سترګی,Adjective
اغفال,Noun
اغفالول,Verb
ښاغلی,Adjective
ښاغلی,ProNoun
اغږل,Verb
اغلب,Adjective
آغلي,Adjective
ښاغلى,Verb
اغماض,Noun
اېغ نېغ,Adjective
اغوړ,Noun
اغوا,Noun
اغوت,Noun
اغور,Noun
اغوستل,Verb
اغيار,Noun
اغيز ناك,Adjective
اف,Interjection
افاده,Noun
آفاقي,Adjective
آفت,Noun
افتتاح,Noun
افتتاحيه,Adjective
افتخار,Noun
افتخاري,Adjective
افترا,Noun
افتضاح,Noun
افراد,Noun
افراط,Noun
افراطي,Adjective
افريقا,Noun
آفرين,Interjection
آفرين,Noun
افسانه,Noun
افسر,Noun
افسوس,Noun
افشا,Noun
افطار,Noun
افعال,Noun
افعي,Noun
افغان,Noun
افغانۍ,Noun
افغانستان,Noun
افغاني,Adjective
افق,Noun
افقي,Adjective
افکار,Noun
افلاس,Noun
افلاک,Noun
افواه,Noun
اقبال,Noun
اقتباس,Noun
اقتدا,Noun
اقتدار,Noun
اقتراح,Noun
اقتصاد,Noun
اقتصادي,Adjective
اقتضاء,Noun
اقتفاء,Noun
اقدام,Noun
اقرار,Noun
اقربا,Noun
اقسام,Noun
اقليت,Noun
اقليدس,Noun
اقليم,Noun
اقمار,Noun
اقناع,Noun
اقوال,Noun
اقوام,Noun
اقيانوس,Noun
ټاكنې,Noun
ټاكنه,Noun
ټاک,Adjective
اړک,Adjective
اکړ,Adjective
څښاک,Noun
څاڅکی,Noun
څاک,Noun
اټک,Noun
اټکۍ,Noun
اکا,Noun
اکا خېل,Noun
اکامی,Noun
اکاړه,Noun
اکاړي,Noun
اکاډيمي,Noun
اکبرۍ,Noun
اک پک,Adjective
اکتسابي,Adjective
اکتشاف,Noun
اکتشافي,Adjective
اکتفا,Noun
اکثر,Adjective
اکثره,Adjective
اکثريت,Noun
ډاکټر,Noun
اکر,Noun
اکراه,Noun
اکرب,Adjective
اکره,Adjective
اکره,Noun
اڅکزی,Noun
اکسايډ,Noun
اکسريز,Noun
اکسير,Noun
ټاکلی,Adjective
اټکل,Noun
ټاکل,Verb
اټکلېدل,Verb
اکله,Noun
اټکلول,Verb
اټکلي,Adjective
اکمال,Noun
اکمالات,Noun
څښاک مېز,Noun
څاښکه,Noun
ډاکه,Noun
ډاکه مار,Noun
اکوړ,Noun
اکوڼی,Noun
اکواډور,Noun
اکو بکو,Noun
اکوک,Noun
اڅکيزه,Noun
ګڼیال,Adjective
ټال,Noun
ډالۍ,Noun
ځالګۍ,Noun
اګل,Noun
الګ,Noun
الګډ,Noun
ښاڅل,Verb
اڅڼل,Verb
اڼل,Verb
آلا!,Interjection
الاپ,Noun
الاجي,Noun
الا داد,Noun
الارغه,Noun
الا کول,Verb
ډالباز,Noun
البانيايي,Noun
البانيه,Noun
البته,Adverb
البشاکه,Noun
البم,Noun
البومين,Noun
التباس,Noun
التجا,Noun
التفات,Noun
التهاب,Noun
الجبر,Noun
الجزاير,Noun
الجيريايي,Adjective
الجيريه,Noun
الچه,Noun
الحاد,Noun
الحاق,Noun
الخ,Adverb
ټالېدل,Verb
اېلېدل,Verb
ډالر,Noun
الزام,Noun
ګالېس,Noun
السلام عليکم,Adverb
ډالغاړی,Noun
الغاسه,Noun
الغاوتلغاو,Noun
الغ بندي,Noun
الغتان,Noun
اېل غېل,Adjective
الغه,Noun
الف,Noun
الفاظ,Noun
الفبې,Noun
الفت,Noun
القاب,Noun
القاح,Noun
الک,Noun
الکټرون,Noun
الکۍ ژبه,Noun
الکوزی,Noun
الکول,Noun
ګالل,Verb
الله,Noun
الم,Noun
المارۍ,Noun
الماس,Noun
المان,Noun
الماني,Adjective
المغرب,Noun
الم غلم,Adjective
المونيم,Noun
ښالنګ,Adjective
النج,Noun
النګه,Noun
اېله,Adjective
الګه,Adjective
اېله,Adverb
ځاله,Noun
اله,Particle
الهام,Noun
الهه,Noun
الهي,Adjective
الهيات,Noun
آلو,Noun
الو,Noun
الوۍ,Noun
الوېښ,Noun
الوا,Noun
الوابوټی,Noun
الواک,Noun
الوان,Noun
الوبالو,Noun
الوبخارا,Noun
الوبل,Noun
الوتکه,Noun
الوتل,Verb
الوتنه,Noun
آلوچه,Noun
الوچه,Noun
الوزول,Verb
الول,Adjective
ټالول,Verb
اېلول,Verb
الوېل,Verb
الوڅه,Adjective
الوي,Adjective
الي ګېډی,Noun
الياف,Noun
اليټ پليټ,Adjective
اليترپ,Noun
الي جبلي,Noun
الي دودو,Noun
اليش,Noun
اليشول,Verb
اليشونه,Noun
الېيل,Verb
اړم,Adjective
ګام,Noun
اړم,Noun
ام,Noun
اما,Particle
اماچ,Noun
ښامار,Noun
ښاماران,Noun
امارت,Noun
امارګه,Noun
ام البلاد,Noun
اماله,Noun
امام,Noun
امامباړه,Noun
امانت,Noun
امانتکاري,Noun
اماني,Adjective
اماني,Noun
امبا,Noun
امبار,Noun
امبارۍ,Noun
امبارکی,Noun
امبارکي,Noun
امبالۍ,Noun
امبانکه,Noun
ډامبر,Noun
امبرلوبه,Noun
ډامبوری,Noun
امبور,Noun
امبولانس,Noun
امبولک سيدالک,Noun
امپراتور,Noun
امپراطوري,Noun
امپرياليزم,Noun
امپېسلين,Noun
امپه,Noun
امپړه ککی,Noun
امپول,Noun
امت,Noun
امتۍ,Noun
امتحان,Noun
امتحانول,Verb
امتحاني,Adjective
امتداد,Noun
امتناع,Noun
امتنان,Noun
امته,Noun
امته دار,Adjective
امتي,Noun
امتياز,Noun
امتيازي,Adjective
امجه,Adjective
امحا,Noun
امېد,Noun
امداد,Noun
امدادي,Adjective
امده,Noun
آمر,Noun
امر,Noun
امرا,Noun
امرت,Noun
امریکا,Noun
امریکايي کرکس,Noun
امروزۍ,Noun
امريکا,Noun
امريکايي,Adjective
امزولی,Noun
امسا,Noun
امضا,Noun
امکان,Noun
امکه,Noun
امېل,Noun
املا,Noun
املاک,Noun
املايي,Adjective
املوک,Noun
ځاځمن,Adjective
امن,Noun
امنا,Noun
ځاځمنه,Adjective
امنټه,Noun
امنيت,Noun
امنيه,Noun
ګامېښه,Noun
امه,Noun
امواج,Noun
اموال,Noun
اموخت,Noun
اموخته,Adjective
امور,Noun
ګامول,Verb
امونيا,Noun
امي,Adjective
امياني,Noun
اميد,Noun
اميده,Noun
اميد واره,Adjective
امير,Noun
اميرالبحر,Noun
امين,Adjective
آمين,Interjection
اميندواره,Adjective
ځانګړی,Adjective
ځان,Noun
ټانګ,Noun
ډانډی,Noun
اګن,Noun
اړنګ,Noun
انګ,Noun
انڅۍ,Noun
انګېټۍ,Noun
ان,Particle
ګانا,Noun
انا,Noun
اناګۍ,Noun
اناپ,Noun
اناپي,Adjective
انګار,Noun
انګاری,Noun
انار,Noun
انارشي,Noun
انارشيزم,Noun
انارشيست,Noun
انډاره,Noun
انارګوړی,Noun
انارګوسه,Noun
ځان ازمېښت,Noun
انګازه,Noun
انګاف,Noun
اناناس,Noun
ځانځاني,Noun
اناوټ,Noun
اناټومي,Noun
انايي,Noun
انبار,Noun
انبالۍ,Noun
انبساط,Noun
انبور,Noun
انبيا,Noun
انبيق,Noun
انګبين,Noun
ډانډت,Noun
انتارکتيکا,Noun
انتاکشري,Noun
انتباه,Noun
انتخاب,Noun
انتخابات,Noun
انتخابېدل,Verb
انتخابول,Verb
انتراسيت,Noun
انتروشی,Noun
انتري,Noun
انتشار,Noun
انتصاب,Noun
انتصابي,Adjective
انتظار,Noun
انتظام,Noun
انتفاعي,Adjective
انتقاد,Noun
انتقادي,Adjective
انتقال,Noun
انتقالي,Adjective
انتقام,Noun
انتن,Noun
ځانته,Adverb
انتها,Noun
انتهايي,Adjective
ځانګړتيا,Noun
انتي بيوتيک,Noun
انتي تېز,Noun
انتي سايکلون,Noun
انتي سېپتيک,Noun
انتيک,Adjective
انجړ,Adjective
ړانجا,Adjective
انجام,Noun
انجړ بنجړ,Adjective
انجره,Noun
انجروت,Noun
انجماد,Noun
انجمن,Noun
انجن,Noun
انجه,Noun
انجيل,Noun
انچ,Noun
ځان چلی,Noun
انګچه,Noun
ځان چوي هسې,Sentence
انحراف,Noun
انحرافات,Noun
انحصار,Noun
انحصارول,Verb
انحطاط,Noun
انحلال,Noun
انډخور,Noun
اند,Noun
اندړ,Noun
انداخت,Noun
اندام,Noun
اندېر,Noun
اندراج,Noun
اندربيل,Noun
اندرچو,Noun
اندرغپ,Adjective
اندرکۍ,Noun
اندره,Noun
اندرور,Noun
اندلس,Noun
اندېښمن,Adjective
اندېښنه,Noun
اندېښنه کول,Verb
ړانده,Adjective
ګانده,Noun
اندوانه,Noun
اندونيزيا,Noun
انديکاتور,Noun
انديښنه,Adjective
انډېری,Noun
انځر,Noun
انګرۍ,Noun
انرجي,Noun
انګرېز,Noun
انرکه,Noun
انګېرل,Verb
انټرنېشناليزم,Noun
انټرنېشناليست,Noun
انګېرنه,Noun
انټرنيټ,Trashed
انګروزه,Noun
انګريزي,Noun
انزال,Noun
انزجار,Noun
ځان زده کړه,Noun
انزکی,Noun
ګانزه,Noun
انزوا,Noun
ډانډس,Noun
ډانس,Noun
انس,Noun
انساج,Noun
انسان,Noun
انسان پېژندنه,Noun
انسان پيژندنه,Noun
انسان تښتول,Verb
انسان تښتونکی,Noun
انسان تښتونه,Noun
انساني,Noun
انسانيت,Noun
انستيتوت,Noun
انسجام,Noun
انسداد,Noun
انشا,Noun
انشاءالله,Interjection
انشعاب,Noun
انصاف,Noun
انضباط,Noun
انطباع,Noun
انطباق,Noun
انظباطي,Adjective
انعام,Noun
انعقاد,Noun
انعکاس,Noun
انغسه,Noun
انفاذ,Noun
انفرادي,Adjective
انفراديت,Noun
انفسي,Adjective
انفعال,Noun
انفکاک,Noun
انفلاسيون,Noun
انفلوينزا,Noun
انقباض,Noun
انقسام,Noun
انقطاع,Noun
انقلاب,Noun
انقلابي,Adjective
ټانکۍ,Noun
انځکی,Noun
انک,Noun
انکار,Noun
ټانکر,Noun
انکسار,Noun
انکشاف,Adjective
انکشاف,Noun
انکشاف ورکول,Verb
انکشافي,Adjective
انګل,Noun
انګلستان,Noun
انګليسي,Noun
ځان مرګی بريد,Noun
ځان مرګي بريدونه,Noun
اړنګمن,Adjective
ځان مه چوه,Noun
اننګی,Noun
ټانټه,Noun
ګانه,Noun
اړینه,Noun
ډانګه يي,Adjective
ځانګو,Noun
څانګوړی,Noun
انډو,Noun
انګوټ,Noun
انګوړی,Noun
انو,Noun
انواع,Noun
انوبله,Adjective
انځور,Noun
انګورتوره,Noun
انځورګر,Noun
انځورول,Verb
ځانوژنه,Noun
ډانډوکۍ,Noun
انډول,Noun
انډولۍ,Noun
انګولا,Noun
انګولل,Verb
انګوليايي,Adjective
ځان ګوښه کول,Verb
آني,Adjective
ځانګړي,Adjective
ځاني,Adjective
ګاني,Noun
انګيا,Noun
انياب,Noun
انډياري,Noun
ځاني ژوند,Noun
انډيواله,Noun
انډيوالي,Noun
څانګي وانګي,Adjective
ګیاه,Noun
څاښه,Noun
څاه,Noun
اټه,Noun
اهاړ,Noun
اهار,Noun
اهاک,Noun
اهانت,Noun
اهتزاز,Noun
اهدا,Noun
اهداف,Noun
اهرام,Noun
ګاڼه کول,Verb
اهل,Adjective
اهل,Noun
اهلي,Adjective
اهليت,Noun
اهمال,Noun
اهميت,Noun
ګاړګوټی,Adjective
اوټ,Adjective
اډو,Adverb
څړاو,Noun
څاو,Noun
اوښ,Noun
اوټۍ,Noun
اوڅار,Adjective
اوار,Adjective
څاوار,Noun
اوښاره,Noun
اوڅارول,Verb
اوارول,Verb
آواز,Noun
اواز,Noun
آوازه,Noun
اوازه,Noun
اټوال,Noun
اوامر,Noun
ګاډۍ وان,Noun
اواګير,Adjective
ټاټوب,Noun
ټاټوبی,Noun
اړوب,Noun
اوب,Noun
اوبړۍ,Noun
اوباز,Noun
اوبازي,Noun
اوبال,Noun
اوبتل,Noun
اوبجن,Adjective
اوبېدل,Verb
اوبدل,Verb
اوبدنه,Noun
ټاټوب کیدل,Verb
اوبلن,Adjective
اوبلنول,Verb
اوښبنه,Noun
ټاټوبه,Noun
اوړبه,Noun
اوبڼه,Noun
اوبه,Noun
اوبه شته,Noun
اوبه شته ؟,Sentence
اوبه لګول,Verb
اوبه نشته,Sentence
اوبول,Verb
اوښبون,Noun
اوپاش,Noun
اوپره,Adjective
